pano,onscode,panamelong,region,con15,lab15,ld15,ukip15,grn15,pc15,snp15,total15,elec15,leave16sh,con17,lab17,ld17,ukip17,grn17,pc17,snp17,total17,elec17,c11degree,c11noqual,c11age1824,c11age65p,c11pubsect,c11beu,unemp15,unemp17
186,"E14000935","Derbyshire South","East Midlands",25066,13595,1887,8998,1216,,,50762,73923,60.4,30907,18937,1870,0,917,0,0,52631,76380,26,22,7.4000001,15.4,25.5,1.2,580,475
187,"E14000665","Devizes","South West",28295,6360,3954,7544,2853,,,49006,69205,51.5,31744,10608,4706,1706,1606,0,0,50593,72184,28.5,17.1,9.3999996,16.299999,39.4,3.5,476,500
188,"E14000623","Devon Central","South West",28436,6985,6643,7171,4866,,,54448,72737,51.2,31278,15598,6770,1326,1531,0,0,57844,74370,30.9,20.5,6.1999998,22.200001,28.8,1.8,449,440
189,"E14000678","Devon East","South West",25401,5591,3715,6870,,,,54717,76519,50.5,29306,6857,1468,1203,0,0,0,60382,82369,31.1,19.4,6.5999999,26.700001,33.6,2,428,485
190,"E14000838","Devon North","South West",22341,3699,15405,7719,3018,,,52320,74737,57.0,25517,7063,21185,1187,753,0,0,55705,75801,22.9,24.1,7.3000002,22.200001,27.7,1.8,560,640
191,"E14000950","Devon South West","South West",28500,8391,3767,7306,2408,,,50372,71035,55.2,31634,15818,2732,1540,1133,0,0,52857,71260,28.1,17.9,6.9000001,20.799999,36.9,1.6,412,450
192,"E14001000","Devon West & Torridge","South West",28774,6015,7483,10371,3941,,,56584,78621,57.1,33612,12926,10526,0,1622,0,0,59480,80524,25.299999,23.200001,6.5999999,23.5,29,1.3,745,640
193,"E14000666","Dewsbury","Yorkshire and the Humber",20955,22406,1924,6649,1366,,,53630,79770,57.3,25493,28814,1214,0,1024,0,0,56545,81343,22.6,27.200001,9.3999996,14.9,27.1,1.3,1699,1405
194,"E14000667","Don Valley","Yorkshire and the Humber",10736,19621,1487,9963,,,,42486,71299,68.6,19182,24351,856,0,0,0,0,45988,73990,18.200001,30.200001,8.6000004,18.1,29.4,1.5,1671,1345
195,"E14000668","Doncaster Central","Yorkshire and the Humber",8386,19840,1717,9747,,,,40420,71136,66.3,14784,24915,973,0,0,0,0,43024,71718,18.5,27.9,9.1000004,15.8,27.6,5.5999999,2723,2090
196,"E14000669","Doncaster North","Yorkshire and the Humber",7235,20708,1005,8928,757,,,39501,70989,72.1,11687,25711,706,2738,0,0,0,42312,72377,14.3,32.799999,8.8000002,16.9,26.2,1.4,2264,1825
197,"E14000815","Dorset Mid & Poole North","South West",23639,2767,13109,5663,1321,,,46499,64299,57.9,28585,6423,13246,0,0,0,0,48254,65050,27.1,18.9,7,21.6,28.6,1.9,417,425
198,"E14000839","Dorset North","South West",30227,4785,6226,9109,3038,,,53385,73759,56.4,36169,10392,7556,0,1607,0,0,55724,76324,27.5,19.700001,7,21.6,30.2,2.5,343,365
199,"E14000936","Dorset South","South West",23756,11762,2901,7304,2275,,,48597,71534,59.5,29135,17440,3053,0,2278,0,0,51906,72323,24.1,21.799999,8,22.299999,34.4,2.4000001,885,755
200,"E14001031","Dorset West","South West",28329,5633,12199,7055,3242,,,56458,78000,51.0,33081,10896,13990,0,1631,0,0,59598,82277,30.799999,20.200001,6.3000002,26.6,32.7,1.7,389,415
201,"E14000670","Dover","South East",21737,15443,1572,10177,1295,,,50224,72930,63.1,27211,20774,1336,1722,923,0,0,51966,74564,20.700001,25.5,7.6999998,19.799999,33.6,3.2,1453,1475
204,"E14000671","Dudley North","West Midlands",11704,15885,478,9113,517,,,37992,60717,71.4,18068,18090,368,2144,240,0,0,38910,62043,17,32.700001,8.6000004,18.4,28.4,1.1,1937,1910
205,"E14000672","Dudley South","West Midlands",16723,12453,828,7236,970,,,38210,60363,70.4,21588,13858,625,1791,382,0,0,38244,61323,17.200001,31.1,8.5,18.799999,28.3,.69999999,1591,1590
206,"E14000673","Dulwich & West Norwood","London",11650,27772,5055,1606,4844,,,51362,76575,22.1,10940,39096,4475,0,1408,0,0,56143,78037,47.599998,14.2,8.1999998,8.6000004,30,8.1999998,2127,2060
207,"S14000013","Dumfries & Galloway","Scotland",16926,13982,953,1301,,,23440,56602,75249,45.4,22344,10775,1241,0,0,0,16701,51599,74206,22.021589,32.281452,7.2313113,22.396563,30.909294,1.5865821,1373,1175
208,"S14000014","Dumfriesshire, Clydesdale & Tweeddale","Scotland",20759,7711,1392,1472,839,,19961,52134,68483,43.9,24177,8102,1949,0,0,0,14736,48964,67672,24.837004,30.913755,6.399518,21.867723,28.459139,1.6091474,887,775
